,a136,no115,b86,a110,no38,d204,a94,b179,no7,d216,a99,b109,b37,b4,c31,c17,a87,c181,c48,c22,b178,c20,d73,a61,d188,c26,a93,b29,b78,c33,b89,a113,b8,no13,c35,b28,b3,osn11,b55,a112,a111,b49,c10,d194,a144,a95,d222,c44,d195,a153,b47,c18,a134,a154,c53,no54,b23,a104,no41,c24,c57,d196,no137,os12,no36,no32,d187,b25,c50,b75,c5,osn16,a119,c166,c1,c45,a135,d219,b34,a100,d206,a92,b21,b43,a88,c6,b51,a130,b182,b40,c138,c56,a85,c52,d201,c14,b2,no19,c9,d217,c46,a114,a103,b60,d193,a97,d220,d202,d205,c150,os15,c160,no42,b174,d221,d203,a102,a39,a90,a145,d200,b59,c30,b71,b27
OTU3073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0
OTU3078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,3
OTU29,219,0,0,57,200,26,0,47,1236,14,23,0,485,0,4063,30,0,9,1,0,260,0,637,0,492,2,0,212,26,0,0,0,105,1622,1454,2,0,488,225,0,0,685,327,1346,0,0,0,10,310,0,1494,0,0,0,199,1851,1,2,0,0,2,218,0,4,1968,270,57,0,388,0,0,0,0,71,0,3572,85,0,0,0,0,0,10,34,0,48,5,503,0,3600,0,3489,157,36,1,0,13,461,387,0,1854,0,0,49,14,35,1,2,36,20,6,0,1777,0,0,0,0,71,0,0,14,0,440,67,369
OTU28,20,13,0,10,3,18,14,13,8,30,62,40,9,60,9,2,13,0,7,181,7,6,31,0,7,0,33,100,33,307,46,0,5,51,70,15,28,17,0,59,82,42,1,34,8,24,6,0,0,154,16,227,14,1,269,15,112,4,111,206,22,9,0,80,1,20,79,365,7,3,16,122,6,55,15,13,159,0,223,0,17,2,8,0,15,169,253,2,2,7,0,17,20,5,0,85,93,57,47,0,2,16,93,24,21,40,8,0,0,59,52,249,21,124,21,0,4707,21,1,174,168,0,6,0,0
OTU25,0,0,0,0,0,1893,0,0,0,0,0,0,0,0,0,0,172,4879,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2341,0,0,0,0,0,1751,0,0,0,0,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105,0,0,0,0,0,2076,0,0,0,0,0,0,0,0,0,0,0,0
OTU24,3526,1,1,27,1055,115,1,6112,91,223,40,1254,2020,650,1204,406,23,35,1335,13,2202,8807,4475,116,3680,192,28,2482,85,39,0,0,1112,563,1243,1251,2290,3279,673,0,44,818,362,139,49,0,6,4060,476,1,192,951,32,5,641,1293,20,881,186,1527,170,115,44,1,1950,1471,154,16,5640,0,5499,4,0,465,1,1383,326,285,32,0,1,11,4302,1519,36,340,75,1022,3,1559,86,399,333,766,2,29,90,3552,260,36,1602,16,9,345,761,1450,2,8,96,1568,293,24,940,67,20,0,146,3565,0,0,245,117,2976,4589,4150
OTU27,43,0,1,1,867,72,1,119,154,1543,0,78,80,89,37,818,3,0,158,0,123,83,407,2,293,682,0,205,13,3,42,0,166,1289,41,23,271,612,42,0,0,2826,209,151,0,0,62,170,103,9,1796,123,0,0,19,60,7,1,118,1317,14,36,0,0,1920,71,109,0,61,0,1842,0,4,18,0,271,50,73,0,0,1,0,4,109,4,263,14,14,2,150,7,568,14,1413,0,8,8,230,139,1,889,23,0,38,23,625,7,0,36,60,39,0,1028,0,0,0,0,92,1,0,45,4503,253,182,276
OTU26,33,43,10,33,5,45,20,14,205,101,173,105,65,2738,8,1,20,56,28,317,25,169,2,0,44,1,30,13,52,12353,54,703,466,11,93,3,2019,3,1,851,80,237,2,102,44,60,26,1,32,141,7,69,495,2,67,13,308,53,66,244,4,1865,234,131,4,65,50,445,24,5,1417,20,73,60,179,90,9,325,1126,0,81,19,75,2,47,511,108,28,38,0,32,0,153,22,8,1609,360,40,12,289,78,500,94,38,34,1,84,14,12,218,2418,404,19,39,7,30,0,25,11,111,22,2,1,0,0
OTU21,3,13,3601,63,0,1056,256,658,0,1,0,1752,3,0,20,23,900,1543,0,1800,468,4,0,0,0,4,1700,1259,164,610,0,1564,25,106,607,0,0,0,124,2,0,11,57,943,119,0,80,8,0,12,0,1541,341,0,104,0,6073,124,0,1,851,0,0,866,47,2,1500,687,0,0,125,1015,338,623,132,0,2425,3240,476,12,108,2,30,1,0,3183,0,717,6,0,0,123,855,4,0,913,1462,814,1472,0,76,0,1616,273,3856,0,188,0,686,14,834,2285,401,0,12,0,0,32,516,70,1957,0,0,0,13
OTU20,4,80,615,16,7,0,103,158,32,1,16,263,86,219,46,3,6,164,93,961,132,141,32,35,1100,1,3,55,24,701,1604,706,72,59,182,83,92,13,82,2138,58,351,12,6,29,15,91,1,4,20,5,226,210,1,151,42,467,11,267,209,29,585,45,330,21,13,62,1018,27,5,265,76,605,7450,34,55,7,3324,208,82,469,5,28,0,0,121,135,74,15,36,1,1,3,63,0,287,560,140,1779,262,62,797,37,0,27,0,15,4,4,1,221,136,39,34,40,0,2157,82,1,25,1214,1,2,0,40
OTU23,200,2344,927,1491,0,689,1230,40,8,3207,2679,509,0,4,0,1,1050,1450,0,27,474,5,486,1181,247,0,1473,0,2264,5,1756,910,6,0,0,4,4,0,2,4397,4515,0,0,493,1989,2215,1511,1,2899,4617,0,0,1601,1724,0,0,0,1372,8,0,3,144,2227,0,0,1,1986,33,0,2122,0,0,2102,1346,0,0,605,2822,0,1585,759,79,0,0,1407,1,1,3015,115,0,5106,6,3357,3,1,4,3,5,0,484,0,1822,811,109,573,583,2962,1,531,1270,3,1291,0,742,646,0,1442,2,1108,1314,452,22,0,44,2
OTU22,186,0,3,1061,660,2,0,158,49,91,23,0,276,10,383,6778,10,0,1167,0,510,74,75,0,268,0,13,1,10,2,0,0,9,1245,399,9,42,54,2640,26,0,639,779,273,11,0,1,136,70,16,1103,45,16,0,89,783,5,6,15,4,15,65,0,22,964,2250,14,4,428,3,51,4,0,96,0,342,51,0,10,0,0,0,2116,121,0,170,12,84,0,1028,0,643,140,37,0,0,17,98,92,0,189,0,0,6,11,490,2,1,60,5,1,0,1103,0,0,0,0,31,0,0,3,43,936,1448,861
OTU2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
OTU3349,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
OTU1739,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
OTU3119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU3110,0,0,0,0,221,0,0,0,29,20,0,0,45,0,0,136,0,0,8,0,185,48,21,0,33,50,0,0,0,3,0,0,0,37,3,29,0,4,8,0,0,31,19,0,0,0,3,0,9,0,89,2,0,0,7,14,0,0,1,0,0,24,0,0,14,31,0,0,8,0,0,0,0,0,0,65,0,0,0,0,0,0,42,0,0,13,0,0,2,105,7,331,0,48,0,0,6,0,9,24,45,0,0,8,0,0,0,0,1,0,0,0,10,0,0,0,0,12,0,0,0,143,262,2,0
OTU2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
OTU3117,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU3115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU501,23,0,0,0,0,3,0,39,5,0,0,0,38,2,2,2,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,55,2,0,5,11,3,0,0,3,0,0,0,0,0,1,10,4,3,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,16,0,0,4,0,31,0,3,0,11,0,0,0,0,0,0,2,0,135,0,0,0,4,145,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,18,33,5
OTU500,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,105,0,0,0,0,0,0,0,0
OTU503,0,0,0,0,10,0,0,8,2,0,0,0,28,0,6,8,0,0,23,0,0,0,0,0,7,171,0,0,0,0,0,0,0,18,2,0,0,10,3,0,0,0,2,0,0,0,0,1,0,0,30,0,0,0,0,5,0,13,0,0,1,14,0,0,1,17,0,0,3,0,1,0,0,0,0,16,0,0,0,0,0,0,0,12,0,19,0,45,0,12,0,42,0,0,0,0,0,0,1,0,19,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,15,6
OTU502,0,0,0,0,12,8,0,0,26,0,0,0,17,0,4,44,0,0,20,0,22,0,58,0,20,1,3,9,0,0,3,0,1,20,37,0,7,5,92,0,0,9,7,0,0,0,0,2,8,0,107,0,1,0,1,0,1,0,0,1,1,36,0,0,18,56,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,1,30,0,126,0,0,0,39,0,124,0,10,0,0,0,10,17,0,4,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,23,0,13,0
OTU505,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,41,0,0,0,0,0,0,22,6,0,0,0,0,0,0,0,7,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11
OTU504,0,50,14,22,0,2,30,0,0,5,68,10,0,0,0,0,45,14,0,0,4,0,5,10,4,0,27,0,22,1,49,88,0,0,0,0,0,0,0,0,70,0,0,0,79,39,0,0,7,28,0,0,60,67,0,0,0,8,0,0,0,8,70,0,0,0,0,0,0,101,0,0,23,39,0,0,21,0,0,54,4,3,0,0,71,0,0,35,0,0,3,0,30,0,0,0,0,0,0,110,0,27,72,0,27,37,66,0,4,24,0,32,0,11,12,0,0,0,51,42,16,0,0,0,0
OTU507,2,6,0,3,0,2,8,0,1,0,0,6,0,59,0,0,7,10,6,0,0,2,0,0,0,0,15,0,0,145,10,5,25,1,0,0,44,0,0,9,0,8,0,22,0,11,0,1,0,5,1,1,31,0,7,0,9,2,1,0,0,18,23,0,0,0,0,19,3,1,38,1,0,0,0,9,0,0,10,23,5,1,8,0,0,25,8,0,0,0,2,1,0,2,0,50,8,0,0,69,5,6,35,0,11,2,2,0,3,28,130,33,1,5,5,0,0,1,1,0,0,3,0,0,0
OTU506,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
OTU509,25,215,92,157,0,36,301,0,0,41,76,135,0,0,0,0,269,104,0,0,14,0,45,186,26,0,146,0,56,0,132,52,0,0,0,0,0,0,0,351,79,0,0,84,288,98,40,0,48,164,0,0,81,142,0,0,0,112,0,0,0,19,130,0,0,0,131,0,0,246,0,0,422,132,0,0,52,67,0,382,141,18,0,1,79,0,0,63,18,0,80,0,123,0,0,0,0,0,0,212,0,210,123,14,169,75,163,0,24,90,0,83,0,162,63,0,0,0,103,125,65,0,0,0,2
OTU508,3,47,36,106,0,29,125,5,0,69,63,13,0,7,0,0,55,93,1,0,18,0,17,6,17,0,70,1,0,26,22,9,1,0,2,0,9,0,0,47,47,0,0,35,108,98,19,0,21,77,0,0,33,122,0,0,0,72,0,0,0,0,87,0,0,1,24,0,0,92,3,3,162,111,12,0,27,6,10,52,22,5,1,0,119,7,0,40,1,0,61,0,61,0,1,18,1,0,0,119,0,96,17,15,13,6,80,0,18,10,36,43,0,25,52,0,0,1,127,50,80,0,0,0,0
OTU2412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2414,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU729,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU728,0,14,7,24,0,0,5,0,0,0,6,0,0,0,0,0,0,14,0,0,2,0,0,0,11,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,49,0,0,0,0,0,0,0,52,0,0,0,26,0,0,0,0,26,0,0,0,0,0,0,33,0,0,36,0,0,0,24,0,0,24,0,1,0,0,69,0,0,3,0,0,1,0,0,0,1,0,4,0,0,0,0,0,4,0,0,0,13,1,0,7,0,0,0,0,22,2,0,0,40,0,10,0,0,0,0
OTU1682,14,87,16,69,0,19,55,1,10,85,47,0,0,78,3,0,37,3,0,0,20,0,12,2,17,0,43,4,0,4,54,27,50,0,0,0,120,0,0,0,0,0,0,14,35,91,24,0,33,18,0,0,28,55,0,0,1,57,0,2,0,1,81,0,0,0,84,0,0,93,27,0,244,64,27,0,2,13,1,109,0,6,0,0,57,25,0,44,6,0,16,0,26,0,0,21,26,0,0,0,0,59,28,0,30,0,83,2,26,18,3,95,0,27,15,0,0,0,54,0,58,1,0,1,0
OTU1683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,18,0,0,0,0,0,0,0,1,0,7,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,5,0,0,1,6,0,0,0,1,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
